ID,Claim
17631,0
15064,1
14139,1
19754,1
16439,1
12394,1
12499,0
13938,1
11747,0
14015,0
16239,1
17897,1
13275,0
15284,0
15264,0
17319,1
14148,0
17123,0
17231,0
15347,1
18325,1
14133,0
18615,0
12932,1
14196,1
15726,1
11001,0
18925,1
11604,1
19111,0
14028,0
13928,0
11331,1
19023,0
13947,0
15780,1
18647,0
14055,1
11146,1
16519,1
18447,0
12997,1
16077,0
16105,1
19363,1
11819,1
18260,0
18420,0
18374,1
11342,0
13606,0
17677,0
11852,0
15539,0
12640,0
12474,0
18615,0
11920,1
14186,0
16899,0
15077,1
12838,0
11500,0
12468,0
17016,0
15012,0
16218,1
14234,0
13126,0
12002,1
14277,0
16848,0
15119,1
14229,0
18562,1
12462,1
13261,1
14265,0
15071,0
18466,0
14155,0
18860,0
19302,0
15737,1
16582,0
18250,1
13284,1
17466,0
19833,1
17665,0
17830,1
12374,0
12089,0
18729,1
13638,1
14548,1
16420,1
11891,0
17466,1
13846,1
12095,1
17776,0
16491,0
19490,1
18165,1
16792,1
12807,1
11508,1
14341,0
13239,0
17360,0
17817,1
13811,1
17120,1
13060,0
18418,0
15383,1
12761,0
16718,0
13276,1
19387,1
13463,0
17571,0
13322,1
17600,1
17138,0
13812,1
11451,0
17439,1
17594,0
12291,1
15089,1
16591,1
11102,1
18180,0
19010,1
13576,0
19094,1
12309,1
12881,0
11667,0
19900,1
17230,1
15390,1
17279,0
13172,1
19213,1
15145,1
19527,1
13129,0
15399,1
11383,0
12816,1
12611,0
15248,0
15914,1
18594,1
11410,0
15844,1
15933,1
18046,0
18495,0
12823,1
19459,0
11991,0
16911,1
16898,0
17804,1
15505,0
18350,1
12742,0
18264,0
12976,0
14052,1
17256,1
19628,1
16999,0
19777,1
14587,0
16799,0
15650,1
15539,1
14787,0
11620,1
16741,0
11259,1
12717,0
12781,1
19926,1
17111,1
18822,1
17600,0
15722,0
13223,1
11970,1
19264,0
15136,1
16803,1
18276,1
15741,0
15119,1
12715,1
12449,1
15998,0
11595,1
17431,1
17722,0
18342,0
15326,0
11872,0
19795,0
19911,0
12608,1
14581,1
14278,0
19172,1
14246,0
18554,0
18940,1
16044,1
14983,1
14823,0
18769,1
12736,0
19053,1
19943,0
18270,1
11106,1
17892,0
14758,0
12821,1
13450,0
13854,1
16970,1
19369,0
13956,0
17115,0
12429,0
15690,1
13934,1
11612,1
19779,0
17218,0
16612,0
13967,1
11758,0
15315,1
15608,1
12346,1
12644,1
18342,0
18755,0
17001,0
15441,0
14239,1
19406,1
17048,0
18947,1
16214,0
11287,0
14378,1
13192,0
16578,1
15995,1
18692,0
17705,0
13565,1
17495,0
15065,1
17841,1
17632,1
19291,0
18679,0
18092,1
17063,0
19633,0
17228,1
11171,0
13666,0
14043,0
20000,1
18434,1
19046,0
19780,1
11786,0
14149,0
11247,0
15517,0
16204,1
16198,1
18244,0
13407,0
12275,1
19707,1
15149,0
17931,0
13051,1
18031,1
18207,0
18981,1
15287,0
16498,1
11491,0
14482,1
13728,1
12525,0
17561,0
19731,0
13989,0
11667,1
15135,0
17603,1
19136,1
13140,0
19240,0
13082,1
18835,1
14447,0
13764,1
12214,0
11164,1
18615,1
12996,1
13163,0
13378,1
16879,0
11872,1
18456,0
17478,0
19453,1
18733,0
12431,1
16742,0
18169,1
19719,0
17806,0
16490,1
19769,0
19283,0
16622,1
17708,0
15631,1
12222,0
18341,0
15108,0
14409,0
15361,1
14615,0
11451,0
16241,0
11674,1
18487,1
13666,1
12333,0
14101,1
13741,1
13957,0
16478,1
15186,1
19038,1
15220,0
12946,0
11655,0
15767,0
16846,0
19684,1
11439,1
16901,1
17818,1
17746,0
19726,0
11123,1
11553,1
11346,1
18678,1
18485,0
16720,0
13869,1
15889,1
18577,0
15099,0
12387,0
18697,0
13824,0
13034,0
15708,0
14774,1
15282,0
16367,0
16963,1
13102,1
13912,1
17470,1
15779,1
15647,1
17620,1
14110,0
11484,1
12524,0
16287,0
12514,0
14485,1
17640,1
15418,1
15453,0
13927,0
15475,1
11932,1
12502,0
15794,0
12465,0
17535,0
13358,1
13688,1
18617,0
18415,1
13563,0
14049,1
18755,0
16337,1
12495,1
17880,0
12361,0
14842,1
14160,1
15068,1
14320,0
14860,1
18215,1
12010,0
12363,1
16095,1
18112,0
12809,0
19257,1
11241,0
16150,1
16851,0
16143,0
19311,0
12370,0
15825,1
11497,0
18798,0
15853,0
12712,0
17260,0
14938,1
11302,0
19697,0
14238,1
11720,1
19573,0
11952,1
17975,0
14576,1
19383,0
13358,1
19120,1
17651,1
18299,0
12378,1
15767,0
15566,0
14193,0
18465,1
18515,0
12726,1
13203,1
12507,0
12331,0
13827,0
12529,0
14604,0
19896,1
16011,1
18692,1
15602,1
11886,0
16219,1
19687,0
15977,1
11402,1
12090,0
12425,0
19718,0
18212,1
13885,1
11698,1
14446,0
13019,1
14672,0
14920,0
12860,1
19234,0
17470,0
16833,1
12318,0
13024,0
14396,0
11782,1
19171,0
16138,1
15847,0
15789,1
16421,1
13633,0
15285,0
11415,0
12547,1
15833,1
18640,1
19437,1
17677,0
16562,1
18870,1
17224,1
19611,0
11759,0
15522,1
17366,0
17609,1
19889,0
11656,0
17648,1
16868,0
16052,0
16636,0
14312,1
12545,1
18373,0
11811,0
12513,1
19180,1
18245,0
19797,1
13121,1
12806,0
17253,1
17887,1
16122,1
16628,1
12396,0
19999,1
19146,1
13875,1
17311,1
17575,1
11947,1
18524,1
17165,0
14547,0
14972,0
16947,0
12067,1
11507,1
16060,0
12475,0
13472,1
16648,0
13684,0
16629,1
11804,1
11351,0
15503,1
11508,1
14829,0
19607,1
18848,0
18136,1
13028,0
11431,1
17293,0
14738,1
16469,1
16066,1
12954,0
17062,1
17555,1
15025,1
12366,0
15993,1
11157,0
18058,0
19095,1
14380,0
11900,1
17142,1
16883,0
18239,1
19818,1
14241,1
17546,0
17074,1
16119,0
12411,0
15655,0
16275,1
11268,1
17664,1
16398,0
17118,0
19490,0
11507,0
17005,1
16391,0
17611,0
16893,0
18777,1
17952,0
15693,0
18521,0
19447,0
18899,0
15082,0
15796,0
19005,0
19266,0
12748,1
11771,1
13202,1
15804,1
15072,0
15294,1
11869,1
18750,0
11522,1
12639,0
19465,1
16614,0
11671,0
14096,1
17791,0
11171,0
13289,1
19235,1
16033,1
18774,1
19173,1
19534,1
19692,0
19344,0
16612,1
12485,1
15877,0
14967,1
14261,0
14383,1
17309,1
12181,0
16457,0
16210,0
18965,0
14677,1
13971,0
14432,1
15150,1
15360,1
12571,1
12231,0
16814,1
15629,1
19922,0
11018,1
15689,0
13706,1
15380,0
17652,1
14870,0
15607,1
13277,1
13015,0
14710,0
18618,1
14617,0
12606,0
11919,1
19032,1
14564,0
19466,1
15836,0
17561,0
16936,1
11414,1
16351,0
18677,1
11813,1
13745,1
14716,1
17447,0
18296,0
13108,1
12976,0
18964,1
18359,0
19984,1
15114,0
12240,1
11867,0
19536,0
17277,0
11637,0
12686,0
15759,1
18372,0
16376,1
19714,1
14812,0
19397,0
13219,0
11890,1
16101,1
17439,1
12417,1
15555,0
17249,0
19265,1
18592,1
14447,1
13057,1
19155,0
12216,0
11255,0
11339,0
18883,1
12719,0
18221,1
15494,0
